1,H,hydrogen,#fffffffff
1,2H (D),deuterium,#fffffffff
1,3H (T),tritium,#fffffffff
2,He,helium,#d9c9f9fff
3,Li,lithium,#cccc8b807
4,Be,beryllium,#c2b2f2fff
5,B,boron,#ffffbeb5a
6,C,carbon,#908900908
6,13C,carbon-13,#504500504
6,14C,carbon-14,#403400403
7,N,nitrogen,#302500504
7,15N,nitrogen-15,#100500504
8,O,oxygen,#ffff0ed00
9,F,fluorine,#908e00e0d
10,Ne,neon,#b3a3e3e3d
11,Na,sodium,#abab5a5c5
12,Mg,magnesium,#8a8afafff
13,Al,aluminium,#bfbfaea69
14,Si,silicon,#f0ec00c8b
15,P,phosphorus,#ffff8e807
16,S,sulfur,#fffffffff
17,Cl,chlorine,#1f1ffff0e
18,Ar,argon,#807d00d1c
19,K,potassium,#8f8f4e403
20,Ca,calcium,#3d3dfdfff
21,Sc,scandium,#e6d6e6e6d
22,Ti,titanium,#bfbfcec2b
23,V,vanadium,#a696a6a69
24,Cr,chromium,#8a8a99999
25,Mn,manganese,#9c9c7b7a7
26,Fe,iron,#e0d600666
27,Co,cobalt,#f0e900908
28,Ni,nickel,#504d00d0c
29,Cu,copper,#c8b888807
30,Zn,zinc,#7d7d8c807
31,Ga,gallium,#c2b2828f8
32,Ge,germanium,#6666868f8
33,As,arsenic,#bdbd8c807
34,Se,selenium,#ffffaea19
35,Br,bromine,#a69625292
36,Kr,krypton,#5c5cbbb8a
37,Rb,rubidium,#7062002e2
38,Sr,strontium,#000f00fff
39,Y,yttrium,#9484f4fff
40,Zr,zirconium,#9484e4e0d
41,Nb,niobium,#7363c3c2b
42,Mo,molybdenum,#5444b4b5a
43,Tc,technetium,#3b3b9a9e9
44,Ru,ruthenium,#2424848f8
45,Rh,rhodium,#a00a797d7
46,Pd,palladium,#000600696
47,Ag,silver,#c0bc00c0b
48,Cd,cadmium,#ffffded9c
49,In,indium,#a69676756
50,Sn,tin,#666686807
51,Sb,antimony,#9e9e6d635
52,Te,tellurium,#d4c4747a7
53,I,iodine,#948403000
54,Xe,xenon,#4232929e9
55,Cs,caesium,#575716171
56,Ba,barium,#000c00c9b
57,La,lanthanum,#706d00d4c
58,Ce,cerium,#fffffffff
59,Pr,praseodymium,#d9c9f9fff
60,Nd,neodymium,#c7b7f7fff
61,Pm,promethium,#a393f3fff
62,Sm,samarium,#8f8ffffff
63,Eu,europium,#6151f1fff
64,Gd,gadolinium,#4545f5fff
65,Tb,terbium,#302f00fff
66,Dy,dysprosium,#1f1ffffff
67,Ho,holmium,#000f00fff
68,Er,erbium,#000e00e6d
69,Tm,thulium,#000d00d4c
70,Yb,ytterbium,#000b00bfb
71,Lu,lutetium,#000a00aba
72,Hf,hafnium,#4d4dccc2b
73,Ta,tantalum,#4d4daca69
74,W,tungsten,#211191948
75,Re,rhenium,#2626767d7
76,Os,osmium,#262666666
77,Ir,iridium,#171756544
78,Pt,platinum,#d0cd00d0c
79,Au,gold,#ffffded1c
80,Hg,mercury,#b8a8b8b8a
81,Tl,thallium,#a69655544
82,Pb,lead,#575756595
83,Bi,bismuth,#9e9e4d4f4
84,Po,polonium,#abab5a5c5
85,At,astatine,#7565444f4
86,Rn,radon,#423282827
87,Fr,francium,#423201000
88,Ra,radium,#0007007d7
89,Ac,actinium,#706a00aba
90,Th,thorium,#000b00baa
91,Pa,protactinium,#000a00a19
92,U,uranium,#0008008f8
93,Np,neptunium,#000800807
94,Pu,plutonium,#0006006b6
95,Am,americium,#5444545c5
96,Cm,curium,#7878575c5
97,Bk,berkelium,#8a8a494f4
98,Cf,californium,#a19131363
99,Es,einsteinium,#b3a3121f1
100,Fm,fermium,#b3a3121f1
101,Md,mendelevium,#b3a302d00
102,No,nobelium,#bdbd0cd00
103,Lr,lawrencium,#c7b706000
104,Rf,rutherfordium,#cccc0b000
105,Db,dubnium,#d1c100000
106,Sg,seaborgium,#d9c908000
107,Bh,bohrium,#e0d000000
108,Hs,hassium,#e6d605000
109,Mt,meitnerium,#ebdb0a000
110,Ds,darmstadtium,#ffff1e141
111,Rg,roentgenium,#ffff1e141
112,Cn,copernicium,#ffff1e141
113,Nh,nihonium,#ffff1e141
114,Fl,flerovium,#ffff1e141
115,Mc,moscovium,#ffff1e141
116,Lv,livermorium,#ffff1e141
117,Ts,tennessine,#ffff1e141
118,Og,oganesson,#ffff1e141
